id;last;alert;text;forcing;priority
1c1h1nt2d;0;1;10-12, 4=ч, равн. или 5=т инвит или 7-9, 6+м;Ф;0
1c1h1nt2d3c;0;1;приём инвита;НФ;0
1c1h1nt2d3c3d;1;0;7-9, 6+б;К;0
1c1h1nt2nt;0;1;ФГ без пятикартных мастей;ФГ;0
1c1h1nt2nt3c;1;0;4+т;ФГ;0
1c1h1nt2nt3d;1;0;4+б;ФГ;0
1c1h1nt3c;1;0;6+т, инвит;НФ;0
1c1h1nt3d;1;0;6+б, инвит;НФ;0
1c1h1nt3h;1;0;6+ч, инвит;НФ;0
1c1h2c;0;0;5+т, 3-ч, неравномер;НФ;0
1c1h2c2d;1;1;вопрос;Ф;0
1c1h2c2h;1;0;5+ч;НФ;0
1c1h2h;1;0;4+ч;НФ;0
1c1h2nt;0;1;14-15, 6+т, 2-ч;Ф;0
1c1h2nt3c;1;0;контракт;К;0
1c1h2nt3d;0;1;6+ч сайнофф или 5=ч ФГ;Ф;0
1c1h2nt3h;1;0;6+ч;ФГ;0
1c1h2nt3s;1;1;кюбид на трефе;ФГ;0
1c1h2nt3d3h;1;1;реле;НФ;0
1c1h3c;1;1;14-15, 6+т, 3=ч;НФ;0
1c1h3h;1;0;4+ч, максимум;НФ;0
1c1s;0;0;7(хор)+, 4+п, 3-ч или 5+п 4+ч;Ф;0
1c1s1nt;0;0;2-3п, равн.;НФ;0
1c1s1nt2c;0;1;вопрос;Ф;0
1c1s1nt2c2d;0;1;12-13, 2=п;НФ;0
1c1s1nt2c2h;0;1;12-13, 3=п;НФ;0
1c1s1nt2c2s;1;1;14-15, 3=п;ФГ;0
1c1s1nt2c2nt;1;1;14-15, 2=п;ФГ;0
1c1s1nt2c2d2h;1;0;контракт;К;0
1c1s1nt2c2d2s;1;0;контракт;К;0
1c1s1nt2c2h2s;1;0;контракт;К;0
1c1s1nt2d;0;1;10-12, 4=п, равн. или 5=т инвит или 7-9, 6+м;Ф;0
1c1s1nt2d3c;0;1;приём инвита;НФ;0
1c1s1nt2d3c3d;1;0;7-9, 6+б;К;0
1c1s1nt2h;1;0;7-9, 4+ч;НФ;0
1c1s1nt2nt;0;1;ФГ без пятикартных мастей;ФГ;0
1c1s1nt2nt3c;1;0;4+т;ФГ;0
1c1s1nt2nt3d;1;0;4+б;ФГ;0
1c1s1nt3c;1;0;6+т, инвит;НФ;0
1c1s1nt3d;1;0;6+б, инвит;НФ;0
1c1s1nt3s;1;0;6+п, инвит;НФ;0
1c1s2c;0;0;5+т, 3-п, неравномер;НФ;0
1c1s2c2d;1;1;вопрос;Ф;0
1c1s2c2h;1;0;4+ч;НФ;0
1c1s2c2s;1;0;5+п;НФ;0
1c1s2d;0;1;5=ч, 2=п;Ф;0
1c1s2d2h;1;0;контракт;К;0
1c1s2d2s;1;0;контракт;К;0
1c1s2d2nt;1;1;ФГ ;ФГ;0
1c1s2d3c;1;0;контракт;К;0
1c1s2d3d;1;0;контракт;К;0
1c1s2d3h;1;0;инвит;НФ;0
1c1s2d3s;1;0;инвит;НФ;0
1c1s2h;0;1;5=ч, 3=п;НФ;0
1c1s2h2s;1;0;контракт;К;0
1c1s2h2nt;1;1;ФГ ;ФГ;0
1c1s2h3c;1;0;контракт;К;0
1c1s2h3d;1;0;контракт;К;0
1c1s2h3h;1;0;инвит;НФ;0
1c1s2h3s;1;0;инвит;НФ;0
1c1s2s;1;0;4+п;НФ;0
1c1s2nt;0;1;14-15, 6+т, 2-п;Ф;0
1c1s2nt3c;1;0;контракт;К;0
1c1s2nt3d;0;1;вопрос (сайнофф или ФГ);Ф;0
1c1s2nt3h;1;0;5+ч;ФГ;0
1c1s2nt3s;1;0;6+п;ФГ;0
1c1s2nt3d3h;1;0;4=ч;НФ;0
1c1s2nt3d3s;1;1;3-ч;НФ;0
1c1s3c;1;1;14-15, 6+т, 3=п;НФ;0
1c1s3s;1;0;4+п,максимум;НФ;0
1c1nt;0;0;8-10, 3-M, равномер;НФ;0
1c1nt2c;1;0;5+т;НФ;0
1c1nt2d;1;0;5=б;НФ;0
1c1nt2h;1;0;5=ч;НФ;0
1c1nt2s;1;0;5=п;НФ;0
1c1nt2nt;1;0;15, равномер;НФ;0
1c1nt3c;1;0;14-15, 6+т;НФ;0
1c2c;0;0;12+, 5+т, 3-М, неравномер или 16+, 4+т, 3-М;ФГ;0
1c2c2d;1;0;3-т, 4-5б;ФГ;0
1c2c2h;1;0;5=ч;ФГ;0
1c2c2s;1;0;5=п;ФГ;0
1c2c2nt;1;0;3-т, 4-б;ФГ;0
1c2c3c;1;0;4+т;ФГ;0
1c2d;0;0;12+, 5+б, 3-М, неравномер или 16+, 4+б, 3-М;ФГ;0
1c2d2h;1;0;5=ч;ФГ;0
1c2d2s;1;0;5=п;ФГ;0
1c2d2nt;1;0;4-т, 3-б;ФГ;0
1c2d3c;1;0;5+т, 3-б;ФГ;0
1c2d3d;1;0;4+б;ФГ;0
1c2h;0;0;12+, 6+ч, нет четвёрок сбоку, хорошее качество масти;ФГ;0
1c2h2s;1;0;5=п;ФГ;0
1c2h2nt;0;0;2=ч;ФГ;0
1c2h3c;1;0;5+т, 1-ч;ФГ;0
1c2h3h;1;0;3+ч;ФГ;0
1c2h2nt3c;1;0;3=т;ФГ;0
1c2h2nt3d;1;0;3=б;ФГ;0
1c2s;0;1;12+, 6+п, нет четвёрок сбоку, хорошее качество масти;ФГ;0
1c2s2nt;0;0;2=п;ФГ;0
1c2s3c;1;0;5+т, 1-п;ФГ;0
1c2s3s;1;0;3+п;ФГ;0
1c2s2nt3c;1;0;3=т;ФГ;0
1c2s2nt3d;1;0;3=б;ФГ;0
1c2nt;1;1;9(хор)-11, миноры от 5-4, хорошее качество масти;НФ;0
1c3c;1;0;9-11, 6+т, хорошее качество масти;НФ;0
1c3d;1;0;9-11, 6+б, хорошее качество масти;НФ;0
1c3nt;1;0;13-15, 3-М, контракт;К;0
